Pulley Type,Alignment,Belt Tension (N),Belt Width(mm),Lagging Type,Temperature (Environment) C,Temperature (pulley) C,Vibrations (mm/s),Oil Contamination,Foreign Residue,Humidity ,Belt Length(feet),Time since last service(days),Inspection Checks (Cracks),Inspection Checks(Lagging),Number of Grooves,Response
3,6,18818,1900,2,36.29,38,2.7,2,4,0.7,5000,7,1,2,8,1
1,5,7294,1800,3,39.14,42,3.9,1,2,0.5,1500,6,2,1,8,1
3,3,16890,1700,1,49.52,70,3,3,4,0.6,8000,15,1,1,6,1
7,0,21036,1800,1,42.11,55,2.2,4,2,0.8,1500,6,2,2,8,1
7,4,3783,1600,4,46.7,64,1.8,3,2,0.7,3000,8,1,1,8,0
3,1,7256,1800,4,35.63,44,1.3,2,1,0.4,3000,8,2,2,6,0
7,5,12808,1700,4,39.82,43,4.2,3,4,0.6,1500,30,3,3,8,1
1,4,4345,1500,1,42.68,55,1.9,2,1,0.6,8000,8,2,1,10,0
7,1,1580,1200,4,44.85,39,4.1,2,3,0.9,3000,10,1,1,6,1
3,0,6435,1700,5,42.34,51,4.4,4,1,0.9,3000,34,3,3,8,1
7,0,16197,1800,2,34.5,46,1.8,1,4,0.9,1500,27,1,1,10,1
2,1,1866,1100,3,30.43,42,3.9,4,1,0.7,5000,38,3,3,12,1
7,2,5736,1500,4,32.27,32,3.4,2,1,0.6,3000,7,1,2,10,0
7,6,17543,1700,5,40.64,40,3.6,4,2,0.8,3000,3,2,2,6,1
1,0,15496,1800,1,33.72,48,3.7,2,1,0.7,5000,9,1,1,12,0
7,2,9667,1900,4,40.87,53,4.8,4,1,0.7,3000,29,2,2,10,1
3,3,5325,1600,3,45.33,67,2.5,4,1,0.7,3000,17,2,1,10,1
7,1,3690,1500,3,38.1,54,4.9,3,4,0.7,5000,19,2,1,12,1
2,0,1290,1100,3,41.42,40,3.2,3,4,0.5,6000,38,3,3,6,1
6,0,4126,1500,3,35.88,38,4.2,2,4,0.7,3000,5,2,1,8,1
6,1,2229,1500,2,48.96,69,4.1,3,2,0.8,3000,5,1,2,6,0
2,0,4755,1400,3,32.84,49,4.6,1,1,0.5,3000,1,1,2,8,0
4,1,12038,1800,3,42.86,53,3.4,3,2,0.7,6000,9,1,1,8,0
5,3,16514,1800,3,44.03,38,1.6,4,4,0.7,3000,31,3,3,12,1
5,5,3794,1400,4,31.5,37,1.2,1,4,0.8,5000,32,3,3,10,1
6,1,4415,1500,2,30.12,39,4.5,2,2,0.5,3000,10,2,1,8,0
3,1,15713,1800,3,42.31,41,2.5,4,1,0.4,8000,32,3,3,6,1
3,1,8823,1700,5,46.95,64,2.2,4,4,0.4,1500,22,1,1,12,1
2,2,1701,1300,5,42.72,49,2.5,4,2,0.4,1500,5,2,1,8,1
4,1,12881,1700,5,47.79,57,3.8,3,1,0.7,1500,5,2,1,8,0
7,5,19596,1800,5,36.69,50,1.9,4,4,0.5,3000,28,2,1,10,1
6,0,2521,1600,5,43.23,53,3.9,3,3,0.7,3000,17,2,2,12,0
7,0,10436,1700,4,39.51,37,4.2,1,1,0.9,1500,7,1,1,8,1
7,3,8031,1700,5,32.25,37,4.1,2,3,0.6,3000,9,1,1,8,1
2,1,1723,1300,1,43.05,49,2,1,4,0.7,1500,21,1,1,12,1
3,4,3123,1500,3,45.26,55,4.6,3,4,0.4,3000,29,2,2,6,1
4,1,18497,1700,4,33.24,42,1.8,3,3,0.6,8000,27,1,2,10,0
7,1,7228,1800,4,33.79,43,2.7,3,1,0.4,3000,6,2,1,6,0
3,6,5110,1400,2,38.06,41,4.1,3,4,0.6,8000,26,2,1,12,1
2,0,4678,1600,5,31.02,34,2.7,1,3,0.8,5000,10,1,1,12,0
2,0,3447,1600,5,44.28,55,3.9,2,2,0.6,5000,5,1,1,10,1
7,1,7398,1900,3,41.82,36,3,3,1,0.8,5000,9,2,2,10,1
1,6,9658,1900,1,44.25,47,1.6,2,4,0.7,3000,5,2,2,8,1
3,1,5664,1400,5,45.19,55,3.1,2,3,0.5,5000,8,2,2,10,1
